artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,quality,perf_id,album,album_date,repetition,split
Vladimir Ashkenazy,6,Four Pieces (originally Op.1): 3. Mélodie,218.253,Sergei Rachmaninoff,0,,Sergei_Rachmaninoff/Four_Pieces_(originally_Op.1)/3._Mélodie/00001.mid,https://www.youtube.com/watch?v=2pNrdpv2n0Q,,00001,Rachmaninov: The Complete Recordings,2014-01-01,,train
Vladimir Ashkenazy,6,Four Pieces (originally Op.1): 4. Gavotte,222.333,Sergei Rachmaninoff,1,,Sergei_Rachmaninoff/Four_Pieces_(originally_Op.1)/4._Gavotte/00002.mid,https://www.youtube.com/watch?v=CafN4QM6SvI,,00002,Rachmaninov: The Complete Recordings,2014-01-01,,train
Vladimir Ashkenazy,6,Four Pieces (originally Op.1): 2. Prelude,176.373,Sergei Rachmaninoff,2,,Sergei_Rachmaninoff/Four_Pieces_(originally_Op.1)/2._Prelude/00003.mid,https://www.youtube.com/watch?v=Fs1wAlSU8hk,,00003,Rachmaninov: The Complete Recordings,2014-01-01,,train
Vladimir Ashkenazy,6,Four Pieces (originally Op.1): 1. Romance,147.68,Sergei Rachmaninoff,3,,Sergei_Rachmaninoff/Four_Pieces_(originally_Op.1)/1._Romance/00004.mid,https://www.youtube.com/watch?v=c_GpYNjv8Ok,,00004,Rachmaninov: The Complete Recordings,2014-01-01,,train
Vladimir Ashkenazy,6,"13 Preludes, Op. 32: No. 2 in B-Flat Minor: Allegretto",174.906,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00010.mid",https://www.youtube.com/watch?v=_Kx-2fetrBs,,00010,Rachmaninov: The Complete Recordings,2014-01-01,,train
Vladimir Ashkenazy,6,"13 Preludes, Op. 32: No. 2 in B-Flat Minor: Allegretto",171.733,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00011.mid",https://www.youtube.com/watch?v=iZN_d_Ozb3c,,00011,Rachmaninov: 24 Preludes; Piano Sonata No. 2,1995-01-01,,train
Nikolai Lugansky,41,"13 Preludes, Op. 32: No. 2. Allegretto in B-Flat Minor",185.773,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00012.mid",https://www.youtube.com/watch?v=oB9Rwob4nOM,,00012,Rachmaninov: 24 Preludes,2018-02-16,,train
Sviatoslav Richter,0,"Seven Preludes from Op. 32: No. 1 in C Major, Allegro vivace",76.173,Sergei Rachmaninoff,5,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._1_in_C_Major:_Allegro_vivace/00015.mid",https://www.youtube.com/watch?v=_Xf2SZh7LJg,,00015,Richter plays Rachmaninoff,1971-04-01,,train
Vladimir Ashkenazy,6,"13 Preludes, Op. 32: No. 1 in C Major: Allegro vivace",81.133,Sergei Rachmaninoff,5,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._1_in_C_Major:_Allegro_vivace/00016.mid",https://www.youtube.com/watch?v=eQQKl4J5hdA,,00016,Rachmaninov: The Complete Recordings,2014-01-01,,train
Vladimir Ashkenazy,6,"13 Preludes, Op. 32: No. 1 in C Major: Allegro vivace",76.333,Sergei Rachmaninoff,5,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._1_in_C_Major:_Allegro_vivace/00017.mid",https://www.youtube.com/watch?v=TS_baPHYjNo,,00017,"Rachmaninov: The Piano Concertos, etc.",1997-01-01,,validation
