artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,quality,perf_id,album,album_date,repetition,split
Vladimir Ashkenazy,6,"Piano Sonata No.1 in F minor, Op.6: 2. (Adagio)",287.0,Alexander Scriabin,188,,"Alexander_Scriabin/Piano_Sonata_No.1_in_F_minor,_Op.6/2._(Adagio)/00581.mid",https://www.youtube.com/watch?v=qgKkiZMjwyA,,00581,Scriabin:The Piano Sonatas,1997-01-01,,test
András Schiff,4,"Rondo in D Major, K.485",376.826,Wolfgang Amadeus Mozart,1557,,"Wolfgang_Amadeus_Mozart/Rondo_in_D_Major,_K.485/10769.mid",https://www.youtube.com/watch?v=zCZ_bcqfi4E,,10769,Mozart: Piano Music,1991-01-01,,test
Vladimir Ashkenazy,6,"12 études, Op. 25: No. 3 in F Major ""The Horseman""",102.0,Frédéric Chopin,1424,,"Frederic_Chopin/12_Études,_Op._25/No._3_in_F_Major/09628.mid",https://www.youtube.com/watch?v=5kuoJ5XRltQ,,09628,Chopin: Piano Concerto No.2 / Ballade / Etudes / Mazurkas / Scherzo,1999-01-01,,test
Alfred Brendel,19,"33 Piano Variations in C, Op.120 on a Waltz by Anton Diabelli: Variation XXV (Allegro)",44.106,Ludwig van Beethoven,1278,,"Ludwig_van_Beethoven/33_Piano_Variations_In_C,_Op._120_On_A_Waltz_By_Anton_Diabelli/Variation_XXV._Allegro/08686.mid",https://www.youtube.com/watch?v=_8lBbg7uR0w,high quality,08686,Alfred Brendel - Live,2007-01-01,,test
Daniel Barenboim,9,"Waltz No.7 in C Sharp Minor, Op. 64 No. 2",236.306,Frédéric Chopin,1679,,"Frederic_Chopin/Waltz_No.7_in_C_sharp_minor,_Op.64,_No.2/11706.mid",https://www.youtube.com/watch?v=__z35A--6Tc,,11706,Max & Maestro,2018-07-06,,test
Alexandre Tharaud,43,"24 Préludes, Op. 28: No.20 in C minor - Largo",106.146,Frédéric Chopin,1475,,"Frederic_Chopin/24_Préludes,_Op._28/No._20_in_C_Minor:_Largo/10339.mid",https://www.youtube.com/watch?v=QRVwIamc0Ko,,10339,"Chopin: Préludes, Op.28",2008-02-08,,test
Vladimir Ashkenazy,6,"Piano Sonata No.13 in A, D.664: 3. Allegro",387.666,Franz Schubert,871,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml","Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/03990.mid",https://www.youtube.com/watch?v=QIfNpAXyKIk,,03990,Schubert: Piano Sonatas Nos.13 & 14; Ungarische Melodie; 12 Waltzes,1966-01-01,,test
Samson François,48,"Ravel: Gaspard de la nuit, M. 55: II. Le gibet",311.706,Maurice Ravel,722,"Maurice_Ravel/Gaspard_de_la_nuit,_M.55/Le_gibet/Le_Gibet_-_No.2_from_Gaspard_de_la_Nuit_-_Maurice_Ravel.mxl","Maurice_Ravel/Gaspard_de_la_nuit,_M.55/Le_gibet/03545.mid",https://www.youtube.com/watch?v=1LxwT-TuFYc,,03545,Ravel: Complete Piano & Orchestral Works,2018-08-24,,test
Vladimir Ashkenazy,6,"Humoreske, Op. 20: 4. Innig",139.973,Robert Schumann,272,,"Robert_Schumann/Humoreske,_Op._20/6._Innig/01367.mid",https://www.youtube.com/watch?v=SBNd33LgM8w,,01367,Schumann: Kreisleriana; Humoreske,1974-09-19,,test
Hélène Grimaud,38,"Sonata for Piano No. 2 in F-Sharp Minor, Op. 2: I. Allegro non Troppo, Ma Energico",361.373,Johannes Brahms,1104,,"Johannes_Brahms/Piano_Sonata_No._2_in_F-Sharp_Minor,_Op._2/I._Allegro_non_troppo,_ma_energico/05126.mid",https://www.youtube.com/watch?v=Uu9hC28susY,,05126,Brahms & Schumann: Sonatas,2009-01-01,,test
Vladimir Ashkenazy,6,"English Suite No. 3 in G Minor, BWV 808: 4. Sarabande",182.973,Johann Sebastian Bach,492,,"Johann_Sebastian_Bach/English_Suite_No.3_in_G_minor,_BWV_808/4._Sarabande/02382.mid",https://www.youtube.com/watch?v=0WJygwluh0Y,,02382,Bach: English Suites 1-3,2021-10-15,,test
Lang Lang,39,"Kinderszenen, Op. 15: VII. Träumerei",197.52,Robert Schumann,202,,"Robert_Schumann/Kinderszenen,_Op._15/7._Träumerei/00878.mid",https://www.youtube.com/watch?v=ZHSS-zwdVT4,,00878,Memory,2006-01-01,,test
Claudio Arrau,11,"Piano Sonata No. 2 in F, K.280: 2. Adagio",559.0,Wolfgang Amadeus Mozart,1155,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No._2_in_F_Major,_K._280/II._Adagio/Sonata_No._2_2nd_Movement_K._280.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No._2_in_F_Major,_K._280/II._Adagio/05756.mid",https://www.youtube.com/watch?v=ys7aecaPgEI,,05756,Mozart: Piano Sonatas Nos. 2 & 9; Rondo In D Major,1989-01-01,,test
Alicia de Larrocha,18,"Rondo in D Major, K. 485",381.373,Wolfgang Amadeus Mozart,1557,,"Wolfgang_Amadeus_Mozart/Rondo_in_D_Major,_K.485/10775.mid",https://www.youtube.com/watch?v=qajb4OwI6rg,,10775,Mozart: Piano Sonata No. 11; Rondo in D Major; Fantasia in C Minor / Bach-Busoni: Chaconne,1974-12-01,,test
Sviatoslav Richter,0,"The Well-Tempered Clavier, Book I: No. 8 in E-Flat-Minor, BWV 853: Prelude",265.986,Johann Sebastian Bach,530,,"Johann_Sebastian_Bach/The_Well-Tempered_Clavier,_Book_I/No._8_in_E-Flat-Minor,_BWV_853:_Prelude/02581.mid",https://www.youtube.com/watch?v=RhNbRxLW9yo,,02581,Bach: Well-Tempered Clavier Book I,2005-04-18,,test
Alfred Brendel,19,"Piano Sonata No. 16 in G Major, Op. 31 No. 1: I. Allegro vivace",386.373,Ludwig van Beethoven,1315,"Ludwig_van_Beethoven/Piano_Sonata_No.16_in_G,_Op.31_No.1/1._Allegro_vivace/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No.16_in_G,_Op.31_No.1/1._Allegro_vivace/09241.mid",https://www.youtube.com/watch?v=9NjTBmE7upM,,09241,"Alfred Brendel, the Legendary Mozart & Beethoven Recordings, Vol. 2",2013,,test
